"","type","amount","oldbalanceOrg","newbalanceOrig","oldbalanceDest","newbalanceDest","isFraud","type_CASH_IN","type_CASH_OUT","type_DEBIT","type_PAYMENT","type_TRANSFER"
"33","TRANSFER",711505.55,0,0,11737061.22,12448566.78,0,0,0,0,0,1
"34","PAYMENT",5171.44,0,0,0,0,0,0,0,0,1,0
"35","CASH_OUT",16605.99,0,0,132521.81,149127.8,0,0,1,0,0,0
"36","CASH_OUT",327976.01,0,0,746278.49,1074254.49,0,0,1,0,0,0
"37","PAYMENT",18422.66,318229,299806.34,0,0,0,0,0,0,1,0
"38","CASH_OUT",521537.77,0,0,724394.08,1245931.85,0,0,1,0,0,0
"39","CASH_OUT",88822.73,5780,0,537065.13,625887.86,0,0,1,0,0,0
"40","PAYMENT",634.07,0,0,0,0,0,0,0,0,1,0
"41","CASH_IN",88116.19,1944741.86,2032858.06,268321.59,180205.39,0,1,0,0,0,0
"42","PAYMENT",1858.26,28158,26299.74,0,0,0,0,0,0,1,0
"43","CASH_OUT",12804.74,12804.74,0,116946.42,129751.15,1,0,1,0,0,0
"44","TRANSFER",834.48,141762,140927.52,100187,54578.32,0,0,0,0,0,1
"45","CASH_IN",17920.33,52778,70698.33,240825.05,222904.73,0,1,0,0,0,0
"46","CASH_IN",120404.28,29338629.58,29459033.85,159400.02,38995.74,0,1,0,0,0,0
"47","PAYMENT",28772.36,139,0,0,0,0,0,0,0,1,0
"48","TRANSFER",1438607.63,26517.23,0,5232761.1,6671368.73,0,0,0,0,0,1
"49","CASH_OUT",127953.64,0,0,2510181.38,2638135.01,0,0,1,0,0,0
"50","PAYMENT",22775.55,0,0,0,0,0,0,0,0,1,0
"51","CASH_IN",154994.32,49574,204568.32,949897.28,794902.96,0,1,0,0,0,0
"52","CASH_IN",68365.02,3332202.96,3400567.98,893613.3,825248.29,0,1,0,0,0,0
"53","CASH_OUT",218485.88,24249,0,326054.32,544540.2,0,0,1,0,0,0
"54","CASH_OUT",109455.85,0,0,341894.63,451350.49,0,0,1,0,0,0
"55","CASH_OUT",19447.95,3011,0,1607761.98,1627209.93,0,0,1,0,0,0
"56","CASH_OUT",168810.17,9936,0,181171.11,349981.27,0,0,1,0,0,0
"57","PAYMENT",11207.25,0,0,0,0,0,0,0,0,1,0
"58","PAYMENT",17587.1,14298,0,0,0,0,0,0,0,1,0
"59","PAYMENT",11677.82,562996.73,551318.91,0,0,0,0,0,0,1,0
"60","PAYMENT",42382.37,72299,29916.63,0,0,0,0,0,0,1,0
"61","PAYMENT",41996.77,320871,278874.23,0,0,0,0,0,0,1,0
"62","PAYMENT",6346.17,1326157.26,1319811.09,0,0,0,0,0,0,1,0
"63","TRANSFER",872215.44,0,0,8332195.31,9204410.74,0,0,0,0,0,1
"64","CASH_OUT",70317.15,0,0,386297.93,456615.08,0,0,1,0,0,0
"65","CASH_OUT",34194.99,11152,0,157554.38,191749.37,0,0,1,0,0,0
"66","CASH_IN",184545.36,71500.56,256045.92,320252.9,135707.54,0,1,0,0,0,0
"67","CASH_OUT",120966.53,0,0,392256.99,513223.52,0,0,1,0,0,0
"68","PAYMENT",52800.99,9001.1,0,0,0,0,0,0,0,1,0
"69","CASH_IN",151608.7,7698,159306.7,0,0,0,1,0,0,0,0
"70","CASH_IN",16404.35,6516220.46,6532624.81,6478378.61,6461974.26,0,1,0,0,0,0
"71","CASH_IN",147255.85,23664,170919.85,3384310.04,3237054.2,0,1,0,0,0,0
"72","CASH_IN",74754.35,13481,88235.35,140643.76,65889.42,0,1,0,0,0,0
"73","CASH_IN",3048.04,6321457.74,6324505.78,70286.03,67237.99,0,1,0,0,0,0
"74","CASH_OUT",142174.11,0,0,1083870.35,1226044.46,0,0,1,0,0,0
"75","PAYMENT",35165.86,0,0,0,0,0,0,0,0,1,0
"76","PAYMENT",7249.33,3530,0,0,0,0,0,0,0,1,0
"77","TRANSFER",154280.41,0,0,2033589.47,2187869.88,0,0,0,0,0,1
"78","CASH_OUT",284386.94,22297,0,14512465.19,14796852.13,0,0,1,0,0,0
"79","TRANSFER",243185.26,0,0,248537.91,491723.17,0,0,0,0,0,1
"80","CASH_IN",283918.77,100058,383976.77,1792972.34,1509053.57,0,1,0,0,0,0
"81","PAYMENT",2418.11,0,0,0,0,0,0,0,0,1,0
"82","PAYMENT",11426.02,0,0,0,0,0,0,0,0,1,0
"83","PAYMENT",17883.55,0,0,0,0,0,0,0,0,1,0
"84","CASH_OUT",59662.94,0,0,548944.27,608607.21,0,0,1,0,0,0
"85","CASH_OUT",193524.41,10000.33,0,1132851.73,1326376.14,0,0,1,0,0,0
"86","TRANSFER",517296.6,49424.06,0,10120941.32,10638237.92,0,0,0,0,0,1
"87","CASH_IN",434103.13,2150094.71,2584197.84,7110003.81,6675900.67,0,1,0,0,0,0
"88","CASH_OUT",15344.54,0,0,4963617.41,4978961.95,0,0,1,0,0,0
"89","PAYMENT",22199.36,7,0,0,0,0,0,0,0,1,0
"90","CASH_IN",47360.44,10688174.97,10735535.42,142959.43,95598.99,0,1,0,0,0,0
"91","CASH_OUT",320207.18,187453.88,0,323590.1,643797.28,0,0,1,0,0,0
"92","CASH_IN",78453.39,4120347.95,4198801.34,157492.35,79038.96,0,1,0,0,0,0
"93","CASH_OUT",135089.46,42161,0,8375.44,374928.99,0,0,1,0,0,0
"94","DEBIT",521.25,307530,307008.75,2167335.62,2167856.87,0,0,0,1,0,0
"95","PAYMENT",2285.75,145,0,0,0,0,0,0,0,1,0
"96","CASH_OUT",117501.53,0,0,206636.35,324137.88,0,0,1,0,0,0
"97","CASH_IN",473580.61,1971703.43,2445284.04,1533181.87,1059601.26,0,1,0,0,0,0
"98","CASH_IN",123477.39,17571023.67,17694501.06,3459879.53,3336402.14,0,1,0,0,0,0
"99","PAYMENT",11180.39,0,0,0,0,0,0,0,0,1,0
"100","PAYMENT",167.6,116098.89,115931.29,0,0,0,0,0,0,1,0
"101","PAYMENT",27503.01,1189,0,0,0,0,0,0,0,1,0
"102","CASH_OUT",10568.28,0,0,4142583.51,4153151.8,0,0,1,0,0,0
"103","PAYMENT",30867.48,0,0,0,0,0,0,0,0,1,0
"104","CASH_OUT",141951.87,0,0,3488843.61,3630795.48,0,0,1,0,0,0
"105","CASH_IN",102106.32,2720835.15,2822941.47,672543.6,570437.28,0,1,0,0,0,0
"106","CASH_OUT",134099.7,10953,0,4546.06,138645.75,0,0,1,0,0,0
"107","CASH_OUT",89153.36,0,0,246975.33,336128.69,0,0,1,0,0,0
"108","TRANSFER",2820891.92,10874,0,761752.46,3582644.38,0,0,0,0,0,1
"109","PAYMENT",19530.71,317283,297752.29,0,0,0,0,0,0,1,0
"110","CASH_OUT",324618.7,0,0,2028620.8,2353239.5,0,0,1,0,0,0
"111","CASH_IN",131999.86,105677,237676.86,2845491.84,2713491.97,0,1,0,0,0,0
"112","CASH_IN",153949.38,7798105.63,7952055,5296758.59,5142809.21,0,1,0,0,0,0
"113","PAYMENT",7982.62,2173,0,0,0,0,0,0,0,1,0
"114","CASH_OUT",216897.13,0,0,473815.51,690712.64,0,0,1,0,0,0
"115","CASH_OUT",91271.62,786,0,180716.27,271987.89,0,0,1,0,0,0
"116","CASH_OUT",75385.86,0,0,692327.07,767712.93,0,0,1,0,0,0
"117","PAYMENT",13707.44,0,0,0,0,0,0,0,0,1,0
"118","CASH_IN",5705.23,20705123.21,20710828.44,780164.49,774459.26,0,1,0,0,0,0
"119","TRANSFER",2091743.07,20057,0,90426.47,2182169.54,0,0,0,0,0,1
"120","CASH_IN",197120.06,82160,279280.06,554779.51,357659.46,0,1,0,0,0,0
"121","CASH_OUT",98462.57,2081,0,760613,859075.57,0,0,1,0,0,0
"122","PAYMENT",2113,0,0,0,0,0,0,0,0,1,0
"123","CASH_OUT",259447.48,106,0,334824.76,594272.24,0,0,1,0,0,0
"124","CASH_IN",43230.69,10796800.6,10840031.28,3545943.54,3502712.85,0,1,0,0,0,0
"125","TRANSFER",1287578.41,0,0,2847362.12,4134940.54,0,0,0,0,0,1
"126","CASH_OUT",324133.86,0,0,451573.47,775707.33,0,0,1,0,0,0
"127","CASH_IN",7487.94,3956102.27,3963590.21,356582.62,349094.68,0,1,0,0,0,0
"128","CASH_IN",169185.21,10665,179850.21,257560.29,88375.08,0,1,0,0,0,0
"129","CASH_OUT",274963.73,41148,0,0,274963.73,0,0,1,0,0,0
"130","CASH_OUT",34911.34,10060,0,0,34911.34,0,0,1,0,0,0
"131","PAYMENT",8408.28,0,0,0,0,0,0,0,0,1,0
"132","CASH_OUT",5921.25,51158,45236.75,527402.86,533324.11,0,0,1,0,0,0
"133","PAYMENT",14034.11,0,0,0,0,0,0,0,0,1,0
"134","TRANSFER",596841.71,0,0,5931597.26,6528438.97,0,0,0,0,0,1
"135","PAYMENT",7433.76,81986.07,74552.31,0,0,0,0,0,0,1,0
"136","CASH_OUT",51049.2,0,0,794099.37,845148.57,0,0,1,0,0,0
"137","PAYMENT",3991.05,0,0,0,0,0,0,0,0,1,0
"138","PAYMENT",9024.41,0,0,0,0,0,0,0,0,1,0
"139","PAYMENT",58635.78,0,0,0,0,0,0,0,0,1,0
"140","CASH_OUT",304663.36,377685,73021.64,25233,320569.8,0,0,1,0,0,0
"141","PAYMENT",33572.28,52786,19213.72,0,0,0,0,0,0,1,0
"142","PAYMENT",9245.97,82084.68,72838.7,0,0,0,0,0,0,1,0
"143","CASH_IN",12539.31,40664,53203.31,4917.16,0,0,1,0,0,0,0
"144","CASH_OUT",30566.47,39810,9243.53,5301585.78,5332152.25,0,0,1,0,0,0
"145","TRANSFER",50283.45,0,0,2369489.45,2419772.9,0,0,0,0,0,1
"146","CASH_OUT",127771.11,11613,0,213464.24,341235.36,0,0,1,0,0,0
"147","CASH_IN",222100.19,5495368.69,5717468.88,1818277.99,1596177.8,0,1,0,0,0,0
"148","TRANSFER",1077835.24,0,0,1116959.98,2194795.22,0,0,0,0,0,1
"149","PAYMENT",64388.23,0,0,0,0,0,0,0,0,1,0
"150","PAYMENT",6511.07,60876,54364.93,0,0,0,0,0,0,1,0
"151","PAYMENT",46199.28,0,0,0,0,0,0,0,0,1,0
"152","CASH_IN",3007.53,3084925.37,3087932.9,130421.99,127414.47,0,1,0,0,0,0
"153","TRANSFER",201720.84,0,0,1673108.5,1874829.33,0,0,0,0,0,1
"154","CASH_IN",62416.02,2935828.89,2998244.91,808514.71,548948.46,0,1,0,0,0,0
"155","CASH_OUT",189790.25,21400,0,839669.64,1029459.89,0,0,1,0,0,0
"156","PAYMENT",5895.42,0,0,0,0,0,0,0,0,1,0
"157","CASH_OUT",197777.99,0,0,239400.44,437178.43,0,0,1,0,0,0
"158","CASH_OUT",352714.42,0,0,6275638.29,6628352.71,0,0,1,0,0,0
"159","PAYMENT",5367.06,0,0,0,0,0,0,0,0,1,0
"160","CASH_IN",429057.29,4958204.83,5387262.12,586856.17,157798.88,0,1,0,0,0,0
"161","CASH_IN",47095.32,5236785.55,5283880.87,167774.96,120679.64,0,1,0,0,0,0
"162","CASH_IN",16775.28,933946.02,950721.29,4081123.55,4064348.27,0,1,0,0,0,0
"163","CASH_OUT",216774.76,0,0,1200020.73,1416795.49,0,0,1,0,0,0
"164","CASH_OUT",30412.05,64797,34384.95,734379.96,764792.01,0,0,1,0,0,0
"165","CASH_IN",206758.84,7296011.98,7502770.82,1090964.63,884205.78,0,1,0,0,0,0
"166","CASH_OUT",170058.18,0,0,1021505.87,1191564.05,0,0,1,0,0,0
"167","PAYMENT",2668.1,220210.12,217542.02,0,0,0,0,0,0,1,0
"168","PAYMENT",4435.96,132,0,0,0,0,0,0,0,1,0
"169","PAYMENT",4775.14,0,0,0,0,0,0,0,0,1,0
"170","PAYMENT",13322.6,32027,18704.4,0,0,0,0,0,0,1,0
"171","CASH_OUT",99744.41,9232,0,1080335.02,1180079.43,0,0,1,0,0,0
"172","PAYMENT",7529.91,0,0,0,0,0,0,0,0,1,0
"173","CASH_IN",113876.93,4164,118040.93,1458091.37,1344214.44,0,1,0,0,0,0
"174","PAYMENT",8340,202445,194105,0,0,0,0,0,0,1,0
"175","CASH_OUT",93953.82,31624,0,0,0,0,0,1,0,0,0
"176","PAYMENT",28815.3,10908,0,0,0,0,0,0,0,1,0
"177","PAYMENT",12394.95,0,0,0,0,0,0,0,0,1,0
"178","TRANSFER",232132.42,0,0,4216486.25,4448618.67,0,0,0,0,0,1
"179","CASH_IN",77678.57,14293400.81,14371079.39,167882.37,90203.8,0,1,0,0,0,0
"180","CASH_OUT",286952.03,927,0,0,286952.03,0,0,1,0,0,0
"181","PAYMENT",7813.74,6906.14,0,0,0,0,0,0,0,1,0
"182","CASH_IN",201863,104089,305952,131797.37,0,0,1,0,0,0,0
"183","CASH_IN",491963.98,12611,504574.98,0,0,0,1,0,0,0,0
"184","CASH_IN",269987.21,31698,301685.21,1107591.03,837603.82,0,1,0,0,0,0
"185","CASH_IN",5034.02,2174835.47,2179869.49,287048,110942.5,0,1,0,0,0,0
"186","CASH_OUT",63289.15,344932,281642.85,0,63289.15,0,0,1,0,0,0
"187","CASH_OUT",304342.4,213336,0,1394215.76,1776875.19,0,0,1,0,0,0
"188","TRANSFER",778655.33,51808,0,571256.5,1349911.83,0,0,0,0,0,1
"189","CASH_IN",85611.75,248980,334591.75,0,0,0,1,0,0,0,0
"190","CASH_OUT",409855.08,295,0,1005304.84,1415159.92,0,0,1,0,0,0
"191","PAYMENT",60257.11,121707,61449.89,0,0,0,0,0,0,1,0
"192","CASH_OUT",49532.37,1565,0,0,49532.37,0,0,1,0,0,0
"193","CASH_OUT",80517.37,238,0,2797343.38,2877860.75,0,0,1,0,0,0
"194","PAYMENT",7659.75,0,0,0,0,0,0,0,0,1,0
"195","CASH_OUT",9394.89,186839,177444.11,170398.68,179793.57,0,0,1,0,0,0
"196","PAYMENT",1984.61,0,0,0,0,0,0,0,0,1,0
"197","CASH_IN",252801.18,5609022.63,5861823.81,309969.26,57168.08,0,1,0,0,0,0
"198","CASH_OUT",70475.65,0,0,92677.29,163152.94,0,0,1,0,0,0
"199","PAYMENT",6518.91,99401,92882.09,0,0,0,0,0,0,1,0
"200","CASH_IN",274797.97,5149,279946.97,440916.49,166118.52,0,1,0,0,0,0
"201","PAYMENT",23361.68,10701,0,0,0,0,0,0,0,1,0
"202","PAYMENT",7176.95,174419.5,167242.55,0,0,0,0,0,0,1,0
"203","CASH_OUT",73617.98,0,0,2184470.93,2258088.9,0,0,1,0,0,0
"204","TRANSFER",1805433.88,7683.19,0,3047638.78,4853072.66,0,0,0,0,0,1
"205","CASH_OUT",134027.49,524110.18,390082.69,12704149.78,12818477.25,0,0,1,0,0,0
"206","CASH_OUT",436909.1,2063,0,0,436909.1,0,0,1,0,0,0
"207","CASH_OUT",335229.88,6789,0,147223.01,482452.89,0,0,1,0,0,0
"208","PAYMENT",14388.96,0,0,0,0,0,0,0,0,1,0
"209","PAYMENT",6145.39,50351.28,44205.89,0,0,0,0,0,0,1,0
"210","CASH_IN",310149.42,4526006.63,4836156.05,816048.78,505899.37,0,1,0,0,0,0
"211","CASH_OUT",165546.62,0,0,2318175.02,2483721.63,0,0,1,0,0,0
"212","PAYMENT",13802.92,65077.93,51275,0,0,0,0,0,0,1,0
"213","CASH_IN",63375.43,4784930.53,4848305.96,74422.01,11046.58,0,1,0,0,0,0
"214","CASH_OUT",180247.31,82040.59,0,3754080.15,3934327.46,0,0,1,0,0,0
"215","CASH_IN",176375.36,16504940.2,16681315.56,559237.58,382862.22,0,1,0,0,0,0
"216","CASH_OUT",42748.18,0,0,936414.6,979162.78,0,0,1,0,0,0
"217","CASH_IN",266155.67,40648,306803.67,0,0,0,1,0,0,0,0
"218","CASH_IN",65773.51,7726,73499.51,0,0,0,1,0,0,0,0
"219","CASH_IN",8.29,200884,200892.29,163754.56,163746.27,0,1,0,0,0,0
"220","PAYMENT",43018.43,14048,0,0,0,0,0,0,0,1,0
"221","CASH_OUT",221625.9,0,0,2203656.26,2425282.15,0,0,1,0,0,0
"222","PAYMENT",2212.78,12844,10631.22,0,0,0,0,0,0,1,0
"223","PAYMENT",54888.11,12705,0,0,0,0,0,0,0,1,0
"224","PAYMENT",35818.14,0,0,0,0,0,0,0,0,1,0
"225","CASH_OUT",21246.71,0,0,300217.69,321464.4,0,0,1,0,0,0
"226","TRANSFER",1455532.14,10932,0,275308.64,1737889.05,0,0,0,0,0,1
"227","PAYMENT",5154.51,0,0,0,0,0,0,0,0,1,0
"228","PAYMENT",11493.79,102136,90642.21,0,0,0,0,0,0,1,0
"229","CASH_IN",404559.94,5707,410266.94,0,0,0,1,0,0,0,0
"230","PAYMENT",1426.66,0,0,0,0,0,0,0,0,1,0
"231","CASH_IN",482567.88,71006,553573.88,0,0,0,1,0,0,0,0
"232","CASH_OUT",53067.4,104096,51028.6,9395771.3,9448838.7,0,0,1,0,0,0
"233","TRANSFER",266546.68,266546.68,0,0,0,1,0,0,0,0,1
"234","PAYMENT",16737.98,99260,82522.02,0,0,0,0,0,0,1,0
"235","PAYMENT",9776.53,906,0,0,0,0,0,0,0,1,0
"236","CASH_OUT",46081.02,65691.49,19610.47,4275514.36,4321595.38,0,0,1,0,0,0
"237","CASH_IN",466996.99,2118858.83,2585855.81,795685.69,328688.7,0,1,0,0,0,0
"238","PAYMENT",24564.71,322129,297564.29,0,0,0,0,0,0,1,0
"239","PAYMENT",10282.42,98527.01,88244.59,0,0,0,0,0,0,1,0
"240","CASH_IN",206849.57,5517753.08,5724602.66,313355.35,106505.78,0,1,0,0,0,0
"241","CASH_OUT",141422.58,0,0,583675.41,725098,0,0,1,0,0,0
"242","CASH_OUT",331470.22,172759,0,145371.3,476841.53,0,0,1,0,0,0
"243","CASH_IN",536061.83,208805,744866.83,77664.86,0,0,1,0,0,0,0
"244","CASH_OUT",130248.48,55197,0,1099847.22,1230095.7,0,0,1,0,0,0
"245","TRANSFER",372485.83,84291,0,1350865.66,2140034.02,0,0,0,0,0,1
"246","CASH_IN",58632.22,93060.35,151692.57,2171905.82,2113273.6,0,1,0,0,0,0
"247","PAYMENT",9860.87,0,0,0,0,0,0,0,0,1,0
"248","CASH_OUT",190702.01,0,0,1159957.16,1322466.16,0,0,1,0,0,0
"249","CASH_OUT",326664.4,1574,0,3461522.94,3788187.34,0,0,1,0,0,0
"250","TRANSFER",178924.13,0,0,268409.29,447333.43,0,0,0,0,0,1
"251","PAYMENT",18348.4,0,0,0,0,0,0,0,0,1,0
"252","CASH_IN",293631.24,6523232.63,6816863.87,899592.88,605961.64,0,1,0,0,0,0
"253","CASH_IN",171403.96,82559,253962.96,0,0,0,1,0,0,0,0
"254","CASH_IN",280086.1,1311086.24,1591172.34,2122798.11,1842712.01,0,1,0,0,0,0
"255","TRANSFER",1555138.59,200134,0,19419,1574557.59,0,0,0,0,0,1
"256","CASH_IN",113446.66,3777976.88,3891423.53,1570423.67,1456977.01,0,1,0,0,0,0
"257","PAYMENT",4293.41,107191,102897.59,0,0,0,0,0,0,1,0
"258","CASH_OUT",480471.99,27,0,0,480471.99,0,0,1,0,0,0
"259","TRANSFER",165903.35,0,0,5540140.97,5706044.32,0,0,0,0,0,1
"260","PAYMENT",25844.28,49527,23682.72,0,0,0,0,0,0,1,0
"261","TRANSFER",1243792.17,106313,0,373345.52,1617137.69,0,0,0,0,0,1
"262","CASH_OUT",104956,0,0,5671587.74,5878553.47,0,0,1,0,0,0
"263","CASH_OUT",205552.15,149670,0,537314.05,742866.2,0,0,1,0,0,0
"264","PAYMENT",7871.26,9301.8,1430.54,0,0,0,0,0,0,1,0
"265","PAYMENT",5015.79,162,0,0,0,0,0,0,0,1,0
"266","CASH_OUT",221516.45,0,0,677960.34,899476.79,0,0,1,0,0,0
"267","PAYMENT",13975.56,68419,54443.44,0,0,0,0,0,0,1,0
"268","CASH_OUT",156452.5,0,0,361882.96,518335.46,0,0,1,0,0,0
"269","PAYMENT",1262.33,0,0,0,0,0,0,0,0,1,0
"270","CASH_OUT",190069.01,280035,89965.99,0,190069.01,0,0,1,0,0,0
"271","PAYMENT",5468.09,0,0,0,0,0,0,0,0,1,0
"272","PAYMENT",10442.93,64342.52,53899.59,0,0,0,0,0,0,1,0
"273","PAYMENT",2256.99,0,0,0,0,0,0,0,0,1,0
"274","CASH_OUT",233089.33,20525,0,0,233089.33,0,0,1,0,0,0
"275","PAYMENT",14233.22,0,0,0,0,0,0,0,0,1,0
"276","PAYMENT",24319.39,0,0,0,0,0,0,0,0,1,0
"277","PAYMENT",13181.09,588,0,0,0,0,0,0,0,1,0
"278","PAYMENT",164.81,3406,3241.19,0,0,0,0,0,0,1,0
"279","CASH_IN",178917.24,5429370.03,5608287.27,528198.75,349281.51,0,1,0,0,0,0
"280","PAYMENT",18496.84,0,0,0,0,0,0,0,0,1,0
"281","CASH_OUT",50827.12,0,0,249066.08,299893.2,0,0,1,0,0,0
"282","CASH_OUT",347548.06,0,0,1102668.7,1450216.76,0,0,1,0,0,0
"283","CASH_IN",64598.06,11296,75894.06,0,0,0,1,0,0,0,0
"284","TRANSFER",841090.77,0,0,2148614.98,2989705.75,0,0,0,0,0,1
"285","CASH_IN",72785.49,781596.88,854382.37,166175.49,93390,0,1,0,0,0,0
"286","PAYMENT",978.15,0,0,0,0,0,0,0,0,1,0
"287","CASH_OUT",10270.61,8314,0,312632.82,322903.42,0,0,1,0,0,0
"288","PAYMENT",15578.14,50310,34731.86,0,0,0,0,0,0,1,0
"289","CASH_IN",129437.84,578921.08,708358.91,1390955.3,1261517.46,0,1,0,0,0,0
"290","PAYMENT",2426.44,274696.51,272270.07,0,0,0,0,0,0,1,0
"291","CASH_OUT",315081.6,10005,0,3327114.76,3642196.36,0,0,1,0,0,0
"292","CASH_IN",261.63,4490463.56,4490725.19,877731.06,877469.42,0,1,0,0,0,0
"293","CASH_OUT",132913.25,0,0,287033.59,419946.84,0,0,1,0,0,0
"294","PAYMENT",31764.48,0,0,0,0,0,0,0,0,1,0
"295","PAYMENT",1464.58,35059.57,33594.99,0,0,0,0,0,0,1,0
"296","PAYMENT",8733.87,1630,0,0,0,0,0,0,0,1,0
"297","CASH_OUT",250604.12,35529,0,0,250604.12,0,0,1,0,0,0
"298","CASH_IN",374662.29,1862,376524.29,0,0,0,1,0,0,0,0
"299","PAYMENT",14940.2,139565.62,124625.42,0,0,0,0,0,0,1,0
"300","CASH_OUT",159909.3,0,0,387391.95,547301.24,0,0,1,0,0,0
"301","PAYMENT",56871.37,0,0,0,0,0,0,0,0,1,0
"302","TRANSFER",81014.77,0,0,84033.21,165047.98,0,0,0,0,0,1
"303","CASH_OUT",171414.2,49528,0,8270691.63,8442105.83,0,0,1,0,0,0
"304","CASH_OUT",68541.17,5684,0,406635.72,475176.9,0,0,1,0,0,0
"305","PAYMENT",8167.69,5836.65,0,0,0,0,0,0,0,1,0
"306","CASH_OUT",90105.46,28051,0,2699833.25,2789938.71,0,0,1,0,0,0
"307","CASH_OUT",273266.47,376,0,157415.71,338227.63,0,0,1,0,0,0
"308","TRANSFER",213675.36,0,0,1726421.99,2320339.31,0,0,0,0,0,1
"309","PAYMENT",3957.5,0,0,0,0,0,0,0,0,1,0
"310","CASH_OUT",35497.27,194365,158867.73,1742394.27,1777891.54,0,0,1,0,0,0
"311","CASH_IN",259878.08,30846,290724.08,64151.86,0,0,1,0,0,0,0
"312","CASH_IN",290942.25,5249617.62,5540559.87,1964727.59,1673785.34,0,1,0,0,0,0
"313","PAYMENT",30003.21,66511,36507.79,0,0,0,0,0,0,1,0
"314","PAYMENT",1577.12,59610,58032.88,0,0,0,0,0,0,1,0
"315","PAYMENT",1660.43,420792.84,419132.41,0,0,0,0,0,0,1,0
"316","PAYMENT",7439.82,4273,0,0,0,0,0,0,0,1,0
"317","PAYMENT",9277.9,38895,29617.1,0,0,0,0,0,0,1,0
"318","PAYMENT",5783.85,0,0,0,0,0,0,0,0,1,0
"319","CASH_IN",88758,931,89689,13119505.86,13030747.85,0,1,0,0,0,0
"320","CASH_OUT",384203.46,19970.09,0,679519.54,1063723,0,0,1,0,0,0
"321","PAYMENT",38588.78,12193,0,0,0,0,0,0,0,1,0
"322","CASH_OUT",148334.29,0,0,6308760.05,6457094.34,0,0,1,0,0,0
"323","PAYMENT",36792.16,0,0,0,0,0,0,0,0,1,0
"324","CASH_OUT",170431.85,0,0,179468.69,349900.54,0,0,1,0,0,0
"325","CASH_IN",10540.98,980533.74,991074.72,2579544.33,2569003.35,0,1,0,0,0,0
"326","PAYMENT",6800.33,0,0,0,0,0,0,0,0,1,0
"327","PAYMENT",14172.09,102794,88621.91,0,0,0,0,0,0,1,0
"328","CASH_OUT",3538.09,0,0,4934781.22,4938319.31,0,0,1,0,0,0
"329","PAYMENT",7438.46,2407,0,0,0,0,0,0,0,1,0
"330","CASH_OUT",176512.93,547475.82,370962.9,22870.9,914843.06,0,0,1,0,0,0
